Country,Province,County,District,Variables,Year,District_Name,County_Name,Province_Name,Major_Type
٣٢١٨٢,٩۶١,۶,۶,تعداد پذيرفته شدگان صرفا بر اساس سوابق تحصیلي کل,1395,مركزي,اشتھارد,البرز,رياضي
١١٧١٨٠,۴٣۵٩,٢٢,٢٢,تعداد کل پذيرفته شدگان کل,1395,مركزي,اشتھارد,البرز,رياضي
۶٧/٧۶,۶٣/۵٧,۵٧/٨٩,۵٧/٨٩,درصد قبولي پذيرفته شدگان کل,1395,مركزي,اشتھارد,البرز,رياضي
0,0,0,0,میانگین نمرات شرکت کنندگان,1395,مركزي,اشتھارد,البرز,رياضي
٢۵/١٣,٢٣/۶,٢٧/١۶,٢٧/١۶,فارسی,1395,مركزي,اشتھارد,البرز,رياضي
١۶/٩٩,١۵/٩٩,٢٢/٧۴,٢٢/٧۴,عربي,1395,مركزي,اشتھارد,البرز,رياضي
٢٩/٣١,٢۵/٣,٣٣/٣٣,٣٣/٣٣,معارف,1395,مركزي,اشتھارد,البرز,رياضي
٢٠/۶٩,٢٢/۶١,١۶/٩۵,١۶/٩۵,زبان,1395,مركزي,اشتھارد,البرز,رياضي
۶/١۴,۵/۴٧,٣/٩۵,٣/٩۵,رياضي,1395,مركزي,اشتھارد,البرز,رياضي
٨/۶٧,٧/٠٧,٨/٣٨,٨/٣٨,فیزيك,1395,مركزي,اشتھارد,البرز,رياضي
۵/٨۶,۴/٧٩,٣/۵٧,٣/۵٧,شیمي,1395,مركزي,اشتھارد,البرز,رياضي
0,0,0,0,میانگین نمرات قبولین,1395,مركزي,اشتھارد,البرز,رياضي
٣١/٠٢,٢٨/٩,٢٨/٨۶,٢٨/٨۶,فارسی,1395,مركزي,اشتھارد,البرز,رياضي
٢٢/٢٢,٢٠/۶١,٢۵/٨۶,٢۵/٨۶,عربي,1395,مركزي,اشتھارد,البرز,رياضي
٣٧/٩٧,٣٢/۴٣,۴٧/۴۶,۴٧/۴۶,معارف,1395,مركزي,اشتھارد,البرز,رياضي
٢۶/۵٩,٢٧/٩۶,٢٨/۶۶,٢٨/۶۶,زبان,1395,مركزي,اشتھارد,البرز,رياضي
٩/٧١,٨/۵٧,۵/٧٩,۵/٧٩,رياضي,1395,مركزي,اشتھارد,البرز,رياضي
١٣/٧٢,١١/٠٧,١۵/١٨,١۵/١٨,فیزيك,1395,مركزي,اشتھارد,البرز,رياضي
٩/٢,٧/۴,۵/۵٨,۵/۵٨,شیمي,1395,مركزي,اشتھارد,البرز,رياضي
١٣/۵٣,١٣/۴۵,١٣/٢۶,١٣/٢۶,میانگین معدل کتبي ثبت نام کنندگان,1395,مركزي,اشتھارد,البرز,رياضي
١٣/۶,١٣/۵,١٣/٢٨,١٣/٢٨,میانگین معدل کتبي شرکت کنندگان,1395,مركزي,اشتھارد,البرز,رياضي
١۴/۶٩,١۴/۴١,١۴/٧۴,١۴/٧۴,میانگین معدل کتبي پذيرفته شدگان در رشته ھاي با آزمون,1395,مركزي,اشتھارد,البرز,رياضي
١٢/٠٧,١٢/٣٣,١١/٨۴,١١/٨۴,میانگین معدل کتبي پذيرفته شده شدگان صرفا بر اساس سوابق تحصیلي,1395,مركزي,اشتھارد,البرز,رياضي
۵١٧٩,۵٠٢١,۵٢٢٨,۵٢٢٨,میانگین نمره کل شرکت کنندگان,1395,مركزي,اشتھارد,البرز,رياضي
۵٩۵٧,۵۶٨۴,۵٩٨۴,۵٩٨۴,میانگین نمره کل پذيرفته شدگان در رشته ھاي با  آزمون,1395,مركزي,اشتھارد,البرز,رياضي
٣۴۵٨٠٩,٩۵٠٣,۴٩,۴٩,تعداد ثبت نام کنندگان زن,1395,مركزي,اشتھارد,البرز,تجربي
٣٠٣۴١٩,٨۵١٩,۴۴,۴۴,تعداد شرکت کنندگان زن,1395,مركزي,اشتھارد,البرز,تجربي
۴٨٧٠١,١٧٠۴,١۶,١۶,تعداد پذيرفته شدگان با آزمون زن,1395,مركزي,اشتھارد,البرز,تجربي
۴۴۴۵۶,٩١٨,٣,٣,تعداد پذيرفته شدگان صرفا بر اساس سوابق تحصیلي زن,1395,مركزي,اشتھارد,البرز,تجربي
٩٣١۵٧,٢۶٢٢,١٩,١٩,تعداد کل پذيرفته شدگان زن,1395,مركزي,اشتھارد,البرز,تجربي
٢۶/٩۴,٢٧/۵٩,٣٨/٧٨,٣٨/٧٨,درصد قبولي پذيرفته شدگان زن,1395,مركزي,اشتھارد,البرز,تجربي
١٨٩٣٠٢,۴٠٨٨,۵١,۴٩,تعداد ثبت نام کنندگان مرد,1395,مركزي,اشتھارد,البرز,تجربي
١۶١٨٩۶,٣۶٢۵,۴٣,۴٢,تعداد شرکت کنندگان مرد,1395,مركزي,اشتھارد,البرز,تجربي
٢۴٨۵۵,٨٠٧,١۶,١۶,تعداد پذيرفته شدگان با آزمون مرد,1395,مركزي,اشتھارد,البرز,تجربي
٢۴٣٨١,٣۴٣,۴,۴,تعداد پذيرفته شدگان صرفا بر اساس سوابق تحصیلي مرد,1395,مركزي,اشتھارد,البرز,تجربي
۴٩٢٣۶,١١۵٠,٢٠,٢٠,تعداد کل پذيرفته شدگان مرد,1395,مركزي,اشتھارد,البرز,تجربي
٢۶/٠١,٢٨/١٣,٣٩/٢٢,۴٠/٨٢,درصد قبولي پذيرفته شدگان مرد,1395,مركزي,اشتھارد,البرز,تجربي
۵٣۵١١١,١٣۵٩١,١٠٠,٩٨,تعداد ثبت نام کنندگان کل,1395,مركزي,اشتھارد,البرز,تجربي
۴۶۵٣١۵,١٢١۴۴,٨٧,٨۶,تعداد شرکت کنندگان کل,1395,مركزي,اشتھارد,البرز,تجربي
٧٣۵۵۶,٢۵١١,٣٢,٣٢,تعداد پذيرفته شدگان با آزمون کل,1395,مركزي,اشتھارد,البرز,تجربي
۶٨٨٣٧,١٢۶١,٧,٧,تعداد پذيرفته شدگان صرفا بر اساس سوابق تحصیلي کل,1395,مركزي,اشتھارد,البرز,تجربي
١۴٢٣٩٣,٣٧٧٢,٣٩,٣٩,تعداد کل پذيرفته شدگان کل,1395,مركزي,اشتھارد,البرز,تجربي
٢۶/۶١,٢٧/٧۵,٣٩,٣٩/٨,درصد قبولي پذيرفته شدگان کل,1395,مركزي,اشتھارد,البرز,تجربي
0,0,0,0,میانگین نمرات شرکت کنندگان,1395,مركزي,اشتھارد,البرز,تجربي
٢۴/۵,٢۴/٨٢,٢۵/١۶,٢۵/٢۴,فارسی,1395,مركزي,اشتھارد,البرز,تجربي
١۵/٢۴,١۵/٨٣,١٧/٠٨,١٧/٠٨,عربي,1395,مركزي,اشتھارد,البرز,تجربي
٢۶/۵٣,٢۵/٣٢,٣٠/٣٣,٣٠/۴٧,معارف,1395,مركزي,اشتھارد,البرز,تجربي
١١/۴٢,١۴/٨٣,٩/٣٩,٩/۵,زبان,1395,مركزي,اشتھارد,البرز,تجربي
٠/۶,٠/۴,٠/۴٢,٠/۴٣,زمین شناسی,1395,مركزي,اشتھارد,البرز,تجربي
۶/١۵,۶/۶,٧/١۶,٧/١٣,رياضي,1395,مركزي,اشتھارد,البرز,تجربي
٨/٠۵,٧/٨,١٠/۶٧,١٠/۴٧,زيست شناسي,1395,مركزي,اشتھارد,البرز,تجربي
۵/٨٣,۶/٠۵,٨/۴٧,٨/۵٧,فیزيك,1395,مركزي,اشتھارد,البرز,تجربي
۶/۴٩,۶/٢,٨/١۵,٨/٠١,شیمي,1395,مركزي,اشتھارد,البرز,تجربي
0,0,0,0,میانگین نمرات قبولین,1395,مركزي,اشتھارد,البرز,تجربي
٣٩/۶٣,٣۵/۶٩,٣٠/١۶,٣٠/١۶,فارسی,1395,مركزي,اشتھارد,البرز,تجربي
٣٠/٩٨,٢۶/۴۶,١٨/٢۴,١٨/٢۴,عربي,1395,مركزي,اشتھارد,البرز,تجربي
۴۵/٩٣,٣٨/۴۶,٣۶/١۵,٣۶/١۵,معارف,1395,مركزي,اشتھارد,البرز,تجربي
٢۴/۶,٢۴/۴٨,٨/۶٨,٨/۶٨,زبان,1395,مركزي,اشتھارد,البرز,تجربي
١/٧٢,١/٠١,-٠/٠٣,-٠/٠٣,زمین شناسی,1395,مركزي,اشتھارد,البرز,تجربي
١٧/٢٩,١۴/۶٣,١٠/٧۵,١٠/٧۵,رياضي,1395,مركزي,اشتھارد,البرز,تجربي
٢٢/٨٩,١٧/۶٣,١۵/۵٢,١۵/۵٢,زيست شناسي,1395,مركزي,اشتھارد,البرز,تجربي
١٧/٣٣,١۴,١١/٨٧,١١/٨٧,فیزيك,1395,مركزي,اشتھارد,البرز,تجربي
١٧/٩٨,١٣/٧,١١/٠٩,١١/٠٩,شیمي,1395,مركزي,اشتھارد,البرز,تجربي
١٣/٨١,١۴/٠٩,١۴/۵۴,١۴/۵۵,میانگین معدل کتبي ثبت نام کنندگان,1395,مركزي,اشتھارد,البرز,تجربي
١٣/٨٩,١۴/١٩,١۴/٧۵,١۴/٧۶,میانگین معدل کتبي شرکت کنندگان,1395,مركزي,اشتھارد,البرز,تجربي
١۶/۴٧,١۵/٨۴,١۵/۶١,١۵/۶١,میانگین معدل کتبي پذيرفته شدگان در رشته ھاي با آزمون,1395,مركزي,اشتھارد,البرز,تجربي
١٢/۴٨,١٢/٩٢,١۴/٢,١۴/٢,میانگین معدل کتبي پذيرفته شده شدگان صرفا بر اساس سوابق تحصیلي,1395,مركزي,اشتھارد,البرز,تجربي
۵۴٠٧,۵۴٣٩,۵٧٠٧,۵۶٩٩,میانگین نمره کل شرکت کنندگان,1395,مركزي,اشتھارد,البرز,تجربي
٧١٢٢,۶۶٣۵,۶٢۶٨,۶٢۶٨,میانگین نمره کل پذيرفته شدگان در رشته ھاي باآزمون,1395,مركزي,اشتھارد,البرز,تجربي
١١۶۵٣١,٣۵٢٣,۶٢,۶٢,تعداد ثبت نام کنندگان زن,1395,مركزي,اشتھارد,البرز,انساني
٩١٨٨۶,٢٨٣۴,۵١,۵١,تعداد شرکت کنندگان زن,1395,مركزي,اشتھارد,البرز,انساني
۴٠۶۵٢,١۴٣٢,٢٨,٢٨,تعداد پذيرفته شدگان با آزمون زن,1395,مركزي,اشتھارد,البرز,انساني
٣٣۵٢٧,٧۵۶,١٣,١٣,تعداد پذيرفته شدگان صرفا بر اساس سوابق تحصیلي زن,1395,مركزي,اشتھارد,البرز,انساني
٧۴١٧٩,٢١٨٨,۴١,۴١,تعداد کل پذيرفته شدگان زن,1395,مركزي,اشتھارد,البرز,انساني
۶٣/۶۶,۶٢/١١,۶۶/١٣,۶۶/١٣,درصد قبولي پذيرفته شدگان زن,1395,مركزي,اشتھارد,البرز,انساني
٧٣٧۵٧,١۶٣٠,۵٧,۵٧,تعداد ثبت نام کنندگان مرد,1395,مركزي,اشتھارد,البرز,انساني
۵١۵۵١,١٢٠٨,۴۵,۴۵,تعداد شرکت کنندگان مرد,1395,مركزي,اشتھارد,البرز,انساني
١٨۵٧٣,۵٢٩,٢٢,٢٢,تعداد پذيرفته شدگان با آزمون مرد,1395,مركزي,اشتھارد,البرز,انساني
٢۴۵۶٧,٣۶٢,١٣,١٣,تعداد پذيرفته شدگان صرفا بر اساس سوابق تحصیلي مرد,1395,مركزي,اشتھارد,البرز,انساني
۴٣١۴٠,٨٩١,٣۵,٣۵,تعداد کل پذيرفته شدگان مرد,1395,مركزي,اشتھارد,البرز,انساني
۵٨/۴٩,۵۴/۶۶,۶١/۴,۶١/۴,درصد قبولي پذيرفته شدگان مرد,1395,مركزي,اشتھارد,البرز,انساني
١٩٠٢٨٨,۵١۵٣,١١٩,١١٩,تعداد ثبت نام کنندگان کل,1395,مركزي,اشتھارد,البرز,انساني
١۴٣۴٣٧,۴٠۴٢,٩۶,٩۶,تعداد شرکت کنندگان کل,1395,مركزي,اشتھارد,البرز,انساني
۵٩٢٢۵,١٩۶١,۵٠,۵٠,تعداد پذيرفته شدگان با آزمون کل,1395,مركزي,اشتھارد,البرز,انساني
۵٨٠٩۴,١١١٨,٢۶,٢۶,تعداد پذيرفته شدگان صرفا بر اساس سوابق تحصیلي کل,1395,مركزي,اشتھارد,البرز,انساني
١١٧٣١٩,٣٠٧٩,٧۶,٧۶,تعداد کل پذيرفته شدگان کل,1395,مركزي,اشتھارد,البرز,انساني
۶١/۶۵,۵٩/٧۵,۶٣/٨٧,۶٣/٨٧,درصد قبولي پذيرفته شدگان کل,1395,مركزي,اشتھارد,البرز,انساني
0,0,0,0,میانگین نمرات شرکت کنندگان,1395,مركزي,اشتھارد,البرز,انساني
١٢/٣٩,١٢/٠٧,١٠/٧٧,١٠/٧٧,فارسی,1395,مركزي,اشتھارد,البرز,انساني
٩/۴۵,٨/٩,٩/۶۴,٩/۶۴,عربي,1395,مركزي,اشتھارد,البرز,انساني
١٢/٧١,١١/۶٣,١٣/٨١,١٣/٨١,معارف,1395,مركزي,اشتھارد,البرز,انساني
٢/۶۶,٣/٧٣,١/٠٨,١/٠٨,زبان,1395,مركزي,اشتھارد,البرز,انساني
٢/٣٨,٢/٢۴,٢/٣,٢/٣,رياضي,1395,مركزي,اشتھارد,البرز,انساني
١۵/۴۶,١٢/٨۵,١٧/۵٢,١٧/۵٢,اقتصاد,1395,مركزي,اشتھارد,البرز,انساني
٨/٠۵,٧/٨,۵/٩١,۵/٩١,ادبیات فارسی,1395,مركزي,اشتھارد,البرز,انساني
٨/٨٢,٨/٣۴,٩/٩٧,٩/٩٧,زبان عربی,1395,مركزي,اشتھارد,البرز,انساني
٧/۴۶,۵/۵۵,٧/۴٢,٧/۴٢,تاريخ و جغرافیا,1395,مركزي,اشتھارد,البرز,انساني
٧/٧۶,۶/٢۴,٧/١۶,٧/١۶,علوم اجتماعی,1395,مركزي,اشتھارد,البرز,انساني
۴/٣٣,٣/٨۶,۵/٢۵,۵/٢۵,فلسفه و منطق,1395,مركزي,اشتھارد,البرز,انساني
٢٧/٩٧,٢۴/۵٢,٢٧/۶,٢٧/۶,روانشناسي,1395,مركزي,اشتھارد,البرز,انساني
0,0,0,0,میانگین نمرات قبولین,1395,مركزي,اشتھارد,البرز,انساني
١٨/۵٣,١۶/٣٨,١٢/٨٨,١٢/٨٨,فارسی,1395,مركزي,اشتھارد,البرز,انساني
١۵/٠۴,١٢/٧٧,١٠/٩۶,١٠/٩۶,عربي,1395,مركزي,اشتھارد,البرز,انساني
١٩/٣۴,١۵/٨٩,١٧/٣٩,١٧/٣٩,معارف,1395,مركزي,اشتھارد,البرز,انساني
۴/۴۶,۵/٢٨,٠/١٨,٠/١٨,زبان,1395,مركزي,اشتھارد,البرز,انساني
۴/٧۵,٣/٨٩,۴/٢٩,۴/٢٩,رياضي,1395,مركزي,اشتھارد,البرز,انساني
٢۵/۵,١٨/٩٧,٢٣/۶۴,٢٣/۶۴,اقتصاد,1395,مركزي,اشتھارد,البرز,انساني
١۴/٢٩,١٢/۴٣,٨/۴۴,٨/۴۴,ادبیات فارسی,1395,مركزي,اشتھارد,البرز,انساني
١۵,١٢/٨٩,١١/٣٣,١١/٣٣,زبان عربی,1395,مركزي,اشتھارد,البرز,انساني
١١/۶٨,٨/٢٢,١٠/٣۵,١٠/٣۵,تاريخ و جغرافیا,1395,مركزي,اشتھارد,البرز,انساني
١۴/۶۶,١٠/٨٣,١٢/۶۶,١٢/۶۶,علوم اجتماعی,1395,مركزي,اشتھارد,البرز,انساني
٧/٩,۶/۴۴,٧/۵,٧/۵,فلسفه و منطق,1395,مركزي,اشتھارد,البرز,انساني
٣٩/٣١,٣٢/٠٩,٣۴/٣٣,٣۴/٣٣,روانشناسي,1395,مركزي,اشتھارد,البرز,انساني
١٢/۴,١٢/۵٩,١٢/٨٨,١٢/٨٨,میانگین معدل کتبي ثبت نام کنندگان,1395,مركزي,اشتھارد,البرز,انساني
١٢/۴۴,١٢/۶٢,١٢/٨۴,١٢/٨۴,میانگین معدل کتبي شرکت کنندگان,1395,مركزي,اشتھارد,البرز,انساني
١٣/۶۶,١٣/٣١,١٣/١٣,١٣/١٣,میانگین معدل کتبي پذيرفته شدگان در رشته ھاي با آزمون,1395,مركزي,اشتھارد,البرز,انساني
١١/٨٣,١٢/١۴,١٢/۵۴,١٢/۵۴,میانگین معدل کتبي پذيرفته شده شدگان صرفا بر اساس سوابق تحصیلي,1395,مركزي,اشتھارد,البرز,انساني
۵٣۶۴,۵٢۵۶,۵۴٣٢,۵۴٣٢,میانگین نمره کل شرکت کنندگان,1395,مركزي,اشتھارد,البرز,انساني
۶٢٣١,۵٨۶٨,۵٨٣٨,۵٨٣٨,میانگین نمره کل پذيرفته شدگان در رشته ھاي با  آزمون,1395,مركزي,اشتھارد,البرز,انساني
۴٠١۴٠,١۴٣٩,٧,٧,تعداد ثبت نام کنندگان زن,1395,مركزي,اشتھارد,البرز,ھنر
٣٠١٣۴,١٠۵۵,٣,٣,تعداد شرکت کنندگان زن,1395,مركزي,اشتھارد,البرز,ھنر
٣۶۶٠,١۶٣,١,١,تعداد پذيرفته شدگان با آزمون زن,1395,مركزي,اشتھارد,البرز,ھنر
٣۴٣٨,١٧٢,٠,٠,تعداد پذيرفته شدگان صرفا بر اساس سوابق تحصیلي زن,1395,مركزي,اشتھارد,البرز,ھنر
٧٠٩٨,٣٣۵,١,١,تعداد کل پذيرفته شدگان زن,1395,مركزي,اشتھارد,البرز,ھنر
١٧/۶٨,٢٣/٢٨,١۴/٢٩,١۴/٢٩,درصد قبولي پذيرفته شدگان زن,1395,مركزي,اشتھارد,البرز,ھنر
١٧٣٠۵,۵۶۶,0,0,تعداد ثبت نام کنندگان مرد,1395,مركزي,اشتھارد,البرز,ھنر
١٢١٠٠,٣٩٩,0,0,تعداد شرکت کنندگان مرد,1395,مركزي,اشتھارد,البرز,ھنر
١١١۶,۴۶,0,0,تعداد پذيرفته شدگان با آزمون مرد,1395,مركزي,اشتھارد,البرز,ھنر
٩٧٩,۴١,0,0,تعداد پذيرفته شدگان صرفا بر اساس سوابق تحصیلي مرد,1395,مركزي,اشتھارد,البرز,ھنر
٢٠٩۵,٨٧,0,0,تعداد کل پذيرفته شدگان مرد,1395,مركزي,اشتھارد,البرز,ھنر
١٢/١١,١۵/٣٧,0,0,درصد قبولي پذيرفته شدگان مرد,1395,مركزي,اشتھارد,البرز,ھنر
۵٧۴۴۵,٢٠٠۵,٧,٧,تعداد ثبت نام کنندگان کل,1395,مركزي,اشتھارد,البرز,ھنر
۴٢٢٣۴,١۴۵۴,٣,٣,تعداد شرکت کنندگان کل,1395,مركزي,اشتھارد,البرز,ھنر
۴٧٧۶,٢٠٩,١,١,تعداد پذيرفته شدگان با آزمون کل,1395,مركزي,اشتھارد,البرز,ھنر
۴۴١٧,٢١٣,٠,٠,تعداد پذيرفته شدگان صرفا بر اساس سوابق تحصیلي کل,1395,مركزي,اشتھارد,البرز,ھنر
٩١٩٣,۴٢٢,١,١,تعداد کل پذيرفته شدگان کل,1395,مركزي,اشتھارد,البرز,ھنر
١۶,٢١/٠۵,١۴/٢٩,١۴/٢٩,درصد قبولي پذيرفته شدگان کل,1395,مركزي,اشتھارد,البرز,ھنر
0,0,0,0,میانگین نمرات شرکت کنندگان,1395,مركزي,اشتھارد,البرز,ھنر
٢٢/۵۵,٢٠/٨۶,٢۵/٨,٢۵/٨,فارسی,1395,مركزي,اشتھارد,البرز,ھنر
